#,first_layer,second_layer,batch,mape
0,1,1,32,18.8530733851
1,1,1,100,17.1320782319
2,1,1,200,17.2746443645
3,1,1,300,18.3071634579
4,1,1,500,17.1715202258
5,1,1,1000,17.0995326269
6,1,1,2000,17.0605656926
7,1,1,5000,18.2912245951
8,1,1,10000,17.3954538802
9,1,1,20000,18.3016491659
10,1,2,32,15.0666671899
11,1,2,100,14.543948556
12,1,2,200,13.82813874
13,1,2,300,13.4052033493
14,1,2,500,13.3322693392
15,1,2,1000,12.6224866593
16,1,2,2000,15.5555251484
17,1,2,5000,16.3244733448
18,1,2,10000,18.4294463369
19,1,2,20000,17.5412008298
20,1,3,32,14.9301533674
21,1,3,100,14.2710734066
22,1,3,200,13.8946216471
23,1,3,300,13.7814329384
24,1,3,500,13.4012659899
25,1,3,1000,14.709010302
26,1,3,2000,14.7591164484
27,1,3,5000,16.3040871361
28,1,3,10000,17.339603146
29,1,3,20000,18.4657120606
30,1,4,32,14.7476290601
31,1,4,100,13.7509236878
32,1,4,200,13.7959432406
33,1,4,300,13.5642604341
34,1,4,500,12.5363086337
35,1,4,1000,12.5567708051
36,1,4,2000,15.1115064204
37,1,4,5000,16.0409884873
38,1,4,10000,16.8054323782
39,1,4,20000,20.1024973218
40,1,5,32,14.6954565671
41,1,5,100,13.8326530807
42,1,5,200,13.7388204828
43,1,5,300,13.260199415
44,1,5,500,13.0582898933
45,1,5,1000,12.4508837799
46,1,5,2000,14.9820697884
47,1,5,5000,15.9958070744
48,1,5,10000,16.8334796325
49,1,5,20000,20.2241348654
50,1,6,32,14.6766067006
51,1,6,100,13.9752785307
52,1,6,200,13.2913128086
53,1,6,300,13.1355678761
54,1,6,500,12.4643846787
55,1,6,1000,12.6020400537
56,1,6,2000,15.1794886743
57,1,6,5000,16.0290258828
58,1,6,10000,16.8320761017
59,1,6,20000,18.5541971305
60,1,7,32,14.4856219676
61,1,7,100,13.9058513044
62,1,7,200,13.3874366868
63,1,7,300,12.8885907085
64,1,7,500,12.6527071515
65,1,7,1000,12.4211525994
66,1,7,2000,14.8965685651
67,1,7,5000,16.1787769904
68,1,7,10000,16.5968875278
69,1,7,20000,17.7224445585
70,1,8,32,14.5854225456
71,1,8,100,13.7878745159
72,1,8,200,13.3536802295
73,1,8,300,13.075335044
74,1,8,500,12.6399277005
75,1,8,1000,12.4665877948
76,1,8,2000,37.2402950223
77,1,8,5000,33.3472255337
78,1,8,10000,25.1972471623
79,1,8,20000,19.2567229202
80,1,9,32,14.3906431815
81,1,9,100,13.7292853491
82,1,9,200,13.5608472914
83,1,9,300,12.9427129866
84,1,9,500,14.6428532984
85,1,9,1000,23.8684857469
86,1,9,2000,37.4352162315
87,1,9,5000,32.5574990865
88,1,9,10000,16.9717902551
89,1,9,20000,24.2353824907
90,1,10,32,14.4917643285
91,1,10,100,13.3530226879
92,1,10,200,13.1192125592
93,1,10,300,13.1758439762
94,1,10,500,12.512464939
95,1,10,1000,27.7465650862
96,1,10,2000,37.6261759829
97,1,10,5000,40.8862555841
98,1,10,10000,16.6286617626
99,1,10,20000,13.7400914449
100,1,11,32,14.5865775967
101,1,11,100,13.9153362906
102,1,11,200,13.0972908824
103,1,11,300,12.809312361
104,1,11,500,12.4283080055
105,1,11,1000,33.1129093839
106,1,11,2000,47.7031205863
107,1,11,5000,21.4698038733
108,1,11,10000,16.6951878342
109,1,11,20000,18.9010382233
110,1,12,32,14.3192234453
111,1,12,100,13.7215095465
112,1,12,200,13.4099259301
113,1,12,300,13.1432435123
114,1,12,500,30.5168673905
115,1,12,1000,45.3331279952
116,1,12,2000,50.4214456015
117,1,12,5000,45.440575604
118,1,12,10000,45.4637732938
119,1,12,20000,37.5108455306
120,1,13,32,14.4398512185
121,1,13,100,13.476915902
122,1,13,200,13.0487320768
123,1,13,300,13.0834551042
124,1,13,500,34.7694180268
125,1,13,1000,49.9479061407
126,1,13,2000,44.0733248479
127,1,13,5000,52.3695686657
128,1,13,10000,17.0680407137
129,1,13,20000,37.5120451621
130,1,14,32,14.202121882
131,1,14,100,13.5393599153
